accession	trait	trait_display	genome_build	sample_size	download_url
GCST90451343	Cholesteryl_esters_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_VLDL	Cholesteryl esters/total lipids ratio in chylomicrons and extremely large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451343/GCST90451343.tsv.gz
GCST90451344	Cholesteryl_esters_in_chylomicrons_and_extremely_large_VLDL	Cholesteryl esters in chylomicrons and extremely large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451344/GCST90451344.tsv.gz
GCST90451345	Cholesterol_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_VLDL	Cholesterol/total lipids ratio in chylomicrons and extremely large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451345/GCST90451345.tsv.gz
GCST90451346	Cholesterol_in_chylomicrons_and_extremely_large_VLDL	Cholesterol in chylomicrons and extremely large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451346/GCST90451346.tsv.gz
GCST90451347	Free_cholesterol_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_VLDL	Free cholesterol/total lipids ratio in chylomicrons and extremely large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451347/GCST90451347.tsv.gz
GCST90451348	Free_cholesterol_in_chylomicrons_and_extremely_large_VLDL	Free cholesterol in chylomicrons and extremely large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451348/GCST90451348.tsv.gz
GCST90451349	Total_lipids_in_chylomicrons_and_extremely_large_VLDL	Total lipids in chylomicrons and extremely large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451349/GCST90451349.tsv.gz
GCST90451350	Phospholipids_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_VLDL	Phospholipids/total lipids ratio in chylomicrons and extremely large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451350/GCST90451350.tsv.gz
GCST90451351	Phospholipids_in_chylomicrons_and_extremely_large_VLDL	Phospholipids in chylomicrons and extremely large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451351/GCST90451351.tsv.gz
GCST90451352	Concentration_of_chylomicrons_and_extremely_large_VLDL_particles	Chylomicrons and extremely large very-low-density lipoprotein particle concentration	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451352/GCST90451352.tsv.gz
GCST90451353	Triglycerides_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_VLDL	Triglycerides/total lipids ratio in chylomicrons and extremely large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451353/GCST90451353.tsv.gz
GCST90451354	Triglycerides_in_chylomicrons_and_extremely_large_VLDL	Triglycerides in chylomicrons and extremely large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451354/GCST90451354.tsv.gz
