locus_key	qc_exp_lead_present	qc_mdd_lead_present_main	qc_mdd_lead_present_noukbb
Cholesterol_in_very_large_HDL__locus118	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus119	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus120	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus121	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus122	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus123	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus124	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus125	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus126	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus127	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus128	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus129	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus130	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus131	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus132	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus133	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus134	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus135	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus136	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus137	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus138	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus139	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus140	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus141	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus142	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus143	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus144	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus145	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus146	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus147	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus148	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus149	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus150	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus151	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus152	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus153	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus154	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus155	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus156	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus157	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus158	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus159	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus160	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus161	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus162	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus163	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus164	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus165	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus166	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus167	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus168	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus169	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus170	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus171	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus172	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus173	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus174	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus175	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus176	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus177	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus178	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus179	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus180	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus181	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus182	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus183	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus184	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus185	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus186	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus187	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus188	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus189	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus190	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus191	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus192	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus193	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus194	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus195	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus196	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus197	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus198	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus199	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus200	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus201	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus202	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus203	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus204	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus205	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus206	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus207	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus208	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus209	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus210	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus211	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus212	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus213	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus214	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus215	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus216	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus217	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus218	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus219	TRUE	TRUE	TRUE
