locus_key	trait	locus	abf_class	failure_reason	is_mhc	qc_exp_lead_present	qc_mdd_lead_present_main	qc_mdd_lead_present_noukbb
Cholesterol_in_very_large_HDL__locus060	Cholesterol_in_very_large_HDL	locus060	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus061	Cholesterol_in_very_large_HDL	locus061	distinct_signal	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus062	Cholesterol_in_very_large_HDL	locus062	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus063	Cholesterol_in_very_large_HDL	locus063	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus064	Cholesterol_in_very_large_HDL	locus064	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus065	Cholesterol_in_very_large_HDL	locus065	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus066	Cholesterol_in_very_large_HDL	locus066	prior_sensitive_coloc	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus067	Cholesterol_in_very_large_HDL	locus067	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus068	Cholesterol_in_very_large_HDL	locus068	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus069	Cholesterol_in_very_large_HDL	locus069	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus070	Cholesterol_in_very_large_HDL	locus070	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus071	Cholesterol_in_very_large_HDL	locus071	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus072	Cholesterol_in_very_large_HDL	locus072	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus073	Cholesterol_in_very_large_HDL	locus073	distinct_signal	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus074	Cholesterol_in_very_large_HDL	locus074	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus075	Cholesterol_in_very_large_HDL	locus075	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus076	Cholesterol_in_very_large_HDL	locus076	inconclusive	lead_missing	FALSE	TRUE	TRUE	FALSE
Cholesterol_in_very_large_HDL__locus077	Cholesterol_in_very_large_HDL	locus077	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus078	Cholesterol_in_very_large_HDL	locus078	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus079	Cholesterol_in_very_large_HDL	locus079	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus080	Cholesterol_in_very_large_HDL	locus080	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus081	Cholesterol_in_very_large_HDL	locus081	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus082	Cholesterol_in_very_large_HDL	locus082	distinct_signal	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus083	Cholesterol_in_very_large_HDL	locus083	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus084	Cholesterol_in_very_large_HDL	locus084	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus085	Cholesterol_in_very_large_HDL	locus085	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus086	Cholesterol_in_very_large_HDL	locus086	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus087	Cholesterol_in_very_large_HDL	locus087	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus088	Cholesterol_in_very_large_HDL	locus088	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus089	Cholesterol_in_very_large_HDL	locus089	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus090	Cholesterol_in_very_large_HDL	locus090	distinct_signal	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus091	Cholesterol_in_very_large_HDL	locus091	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus092	Cholesterol_in_very_large_HDL	locus092	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus093	Cholesterol_in_very_large_HDL	locus093	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
