trait	n_iv	ivw_b	ivw_se	ivw_p	p_fdr_bh	p_bonf	screen_level
Cholesterol_to_total_lipids_ratio_in_IDL	147	-0.111529020352493	0.0252024919264311	9.63006861112438e-06	4.74589231394971e-05	0.00239788708416997	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_large_HDL	147	-0.116772214792982	0.0253379907563111	4.0542396424597e-06	2.76799456658026e-05	0.00100950567097247	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_large_LDL	147	-0.112065717723082	0.0263261434569492	2.07352922779394e-05	8.32756093097889e-05	0.00516308777720691	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_large_VLDL	147	-0.0540836943888854	0.017964277197849	0.0026071097916601	0.00503232820250671	0.649170338123365	fdr_only
Cholesterol_to_total_lipids_ratio_in_medium_HDL	147	-0.112548355314862	0.0245604182954574	4.5942836854741e-06	2.85994159420763e-05	0.00114397663768305	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_medium_LDL	147	-0.0877042020590572	0.022705300207124	0.000112131811914	0.000367379225876132	0.027920821166586	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_medium_VLDL	147	-0.106979114638577	0.0284521766287157	0.0001699388892572	0.000497820981471092	0.0423147834250428	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_small_HDL	147	-0.0858651417403014	0.0192874896173576	8.51309346215491e-06	4.41616723349286e-05	0.00211976027207657	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_small_LDL	147	-0.0468319369421452	0.0112833881043842	3.31719630058734e-05	0.000121467923359742	0.00825981878846248	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_small_VLDL	147	-0.0837827449331286	0.0223226755676781	0.0001745515295733	0.000505387568183159	0.0434633308637517	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_very_large_HDL	147	0.0094793692931181	0.0136444648024277	0.487217620891226	0.544023262788858	1	null
