trait	n_iv	ivw_b	ivw_se	ivw_p	p_fdr_bh	p_bonf	screen_level
Concentration_of_small_HDL_particles	198	0.037279613484598	0.0142597255773701	0.0089402912323105	0.0147425994493067	1	fdr_only
Concentration_of_small_LDL_particles	198	0.0288243837192714	0.012375815040322	0.0198543126048389	0.0310926027585213	1	fdr_only
Concentration_of_small_VLDL_particles	198	0.0851410445515164	0.0129640643122348	5.11788791682739e-11	1.59294261411253e-09	1.27435409129002e-08	bonferroni_hit
Concentration_of_very_large_HDL_particles	198	-0.0846333465215333	0.0243647197535999	0.0005135215673343	0.000954230375121199	0.127866870266241	fdr_only
Concentration_of_very_large_VLDL_particles	198	0.110433021990628	0.0186808550885774	3.3887988238157e-09	2.48179678567679e-08	8.43810907130109e-07	bonferroni_hit
Concentration_of_very_small_VLDL_particles	198	0.0302239902194509	0.0151265966221352	0.0457091339350111	0.0650135091408408	1	nominal
Concentration_of_VLDL_particles	198	0.0716912245039379	0.0118299691302842	1.36006309679685e-09	1.41106546292673e-08	3.38655711102416e-07	bonferroni_hit
Creatinine	198	0.0221985782827789	0.0112197193977529	0.0478686778626389	0.0665882725575256	1	nominal
Degree_of_unsaturation	198	-0.17745004424358	0.0820926409955683	0.0306503451604326	0.0446312043564194	1	fdr_only
DHA	198	-0.100536771414163	0.0694727568444316	0.147857853704004	0.187839824348454	1	null
DHA_pct	198	-0.148107139042909	0.0669065784085977	0.0268534908154702	0.0400390372039047	1	fdr_only
Free_cholesterol_in_chylomicrons_and_extremely_large_VLDL	198	0.11404457836902	0.0210490365747347	6.02550369412481e-08	2.8308498487492e-07	1.50035041983708e-05	bonferroni_hit
Free_cholesterol_in_IDL	198	-0.0498069209693056	0.0250667977333878	0.046925960737642	0.0656436192341172	1	nominal
Free_cholesterol_in_large_HDL	198	-0.0900577237421672	0.0244146995015802	0.0002254310444786	0.000452680081251382	0.0561323300751714	fdr_only
Free_cholesterol_in_large_LDL	198	-0.0388236527210793	0.0205037750671772	0.0582929981703034	0.0797525084857448	1	null
Free_cholesterol_in_large_VLDL	198	0.101224974302936	0.0165849960496996	1.0383125600759e-09	1.2926991372945e-08	2.58539827458899e-07	bonferroni_hit
Free_cholesterol_in_LDL	198	-0.0319686794527628	0.0194696647493184	0.100595433490286	0.129783745798348	1	null
Free_cholesterol_in_medium_HDL	198	-0.0443989294212806	0.0193769956041288	0.0219448176948632	0.0335230650676131	1	fdr_only
Free_cholesterol_in_medium_LDL	198	-0.0162922639764641	0.0169920970299979	0.337652352660661	0.389238128761595	1	null
Free_cholesterol_in_medium_VLDL	198	0.0343279550452717	0.0121062808709377	0.0045746968096518	0.00774897622859387	1	fdr_only
Free_cholesterol_in_small_HDL	198	0.0343340193471551	0.0149390649746778	0.021546371636125	0.0331175712184884	1	fdr_only
Free_cholesterol_in_small_LDL	198	-0.0255558412281536	0.018436180755478	0.165692341229927	0.208370671546726	1	null
Free_cholesterol_in_small_VLDL	198	0.0324868920406726	0.0124714518027077	0.0091900922472983	0.0150548221682716	1	fdr_only
Free_cholesterol_in_very_large_HDL	198	-0.0992102788995414	0.0276939251701392	0.0003404726069588	0.000648115541080546	0.0847776791327412	fdr_only
Free_cholesterol_in_very_large_VLDL	198	0.102406089689228	0.0168848391740252	1.31976016356642e-09	1.41106546292673e-08	3.28620280728039e-07	bonferroni_hit
Free_cholesterol_in_very_small_VLDL	198	0.0205143474889963	0.016901090830067	0.224828548548179	0.270445935210128	1	null
Free_cholesterol_in_VLDL	198	0.0747317088567225	0.012057722249031	5.72470383875879e-10	7.91917364361633e-09	1.42545125585094e-07	bonferroni_hit
Free_cholesterol_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_VLDL	198	-0.0567069418362497	0.0116151695470514	1.04938048717161e-06	3.25803792715404e-06	0.000261295741305731	bonferroni_hit
Free_cholesterol_to_total_lipids_ratio_in_IDL	198	-0.112012589083215	0.0272722265962221	4.00478079579804e-05	9.87317245696744e-05	0.00997190418153712	bonferroni_hit
Free_cholesterol_to_total_lipids_ratio_in_large_HDL	198	-0.0737949428842703	0.0290616138183648	0.0111087786685446	0.0175068727118203	1	fdr_only
Free_cholesterol_to_total_lipids_ratio_in_large_LDL	198	-0.130081678248865	0.0235435552661029	3.29203921088266e-08	1.70774534064538e-07	8.19717763509782e-06	bonferroni_hit
Free_cholesterol_to_total_lipids_ratio_in_large_VLDL	198	0.0299301950705055	0.0104457938375058	0.0041663173184125	0.00720425702975495	1	fdr_only
Free_cholesterol_to_total_lipids_ratio_in_medium_HDL	198	-0.0843250339636787	0.0294575690933806	0.0042018979741784	0.00721567307289946	1	fdr_only
Free_cholesterol_to_total_lipids_ratio_in_medium_LDL	198	-0.130448201093316	0.0240691164300657	5.96878827411354e-08	2.8308498487492e-07	1.48622828025427e-05	bonferroni_hit
Free_cholesterol_to_total_lipids_ratio_in_medium_VLDL	198	-0.0973846579975052	0.026140349128658	0.0001949643077346	0.000401207542362937	0.0485461126259154	bonferroni_hit
Free_cholesterol_to_total_lipids_ratio_in_small_HDL	198	-0.0595945479648785	0.026353378423636	0.0237368042358077	0.035820995483128	1	fdr_only
Free_cholesterol_to_total_lipids_ratio_in_small_LDL	198	-0.122802166391117	0.024935363277156	8.44382063572823e-07	2.69552735679017e-06	0.000210251133829633	bonferroni_hit
Free_cholesterol_to_total_lipids_ratio_in_small_VLDL	198	-0.111886175534971	0.0243037058298824	4.15115455080379e-06	1.17458804903425e-05	0.00103363748315014	bonferroni_hit
