trait_id	trait_display	screen_level	n_iv	min_f	median_f	cumulative_r2_approx	maf_min	maf_q25	maf_median	maf_q75	maf_max	i2gx	nome_i2gx_ge_0_90	ld_panel_missing_n	ld_panel_eligible_n	ld_panel_missing_fraction	ld_panel_missingness_note
Free_cholesterol_to_total_lipids_ratio_in_small_LDL	Free cholesterol/total lipids ratio in small low-density lipoprotein	fdr_only	315	29.8059382549349	56.6150355508362	0.084913891341297	0.00293451	0.0791841	0.228185	0.3770385	0.4987	0.994666957511794	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Free_cholesterol_to_total_lipids_ratio_in_small_VLDL	Free cholesterol/total lipids ratio in small very-low-density lipoprotein	fdr_only	353	29.729321274956	55.0918385229249	0.0852242127535224	0.00479934	0.107504	0.271052	0.382425	0.495394	0.994237819748979	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Free_cholesterol_to_total_lipids_ratio_in_very_large_HDL	Free cholesterol/total lipids ratio in very large high-density lipoprotein	null	387	29.7462138067366	52.0719314754531	0.0651006647111893	0.00464248	0.121113	0.272168	0.381549	0.498421	0.993243542050716	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Free_cholesterol_to_total_lipids_ratio_in_very_large_VLDL	Free cholesterol/total lipids ratio in very large very-low-density lipoprotein	fdr_only	251	29.7954231001877	55.2906841666129	0.0576217410927803	0.00999835	0.1077105	0.245299	0.368568	0.498501	0.993516500443744	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Free_cholesterol_to_total_lipids_ratio_in_very_small_VLDL	Free cholesterol/total lipids ratio in very small very-low-density lipoprotein	nominal	190	29.9511617555204	65.4734214812231	0.0639908913363693	0.00810097	0.09338875	0.232755	0.356819	0.498804	0.995321601838267	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Gln	Glutamine	nominal	287	29.7493500999816	52.7340739941094	0.0525701427602811	0.0068202	0.168386	0.278008	0.402163	0.499626	0.991334310964092	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Glucose	Glucose	null	147	29.7353509968602	46.8915707539604	0.0211924839321228	0.0117247	0.151548	0.27905	0.3788665	0.49506	0.988740024720824	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Gly	Glycine	null	251	29.7547879488125	50.8977418735412	0.0545324115210076	0.00945517	0.1127695	0.275776	0.3865985	0.498757	0.993889433903136	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
GlycA	Glycoprotein acetyls	bonferroni_hit	381	29.7288177742453	48.7699872943835	0.0622925186853026	0.00760452	0.152894	0.295747	0.393032	0.499463	0.990854733607447	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
HDL_C	Total cholesterol in high-density lipoprotein	null	443	29.8940727702994	53.530018492831	0.080762817078454	0.0079341	0.1326745	0.271433	0.3916595	0.499035	0.993696077168087	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
HDL_CE	Cholesteryl esters in high-density lipoprotein	null	456	29.7416161759316	52.5685712341409	0.0813862239462993	0.0079341	0.13864375	0.2789645	0.398118	0.499035	0.993495094942312	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
HDL_FC	Free cholesterol in high-density lipoprotein	null	388	29.7881422734241	58.4223694160443	0.0744480612678065	0.0079341	0.11343	0.252444	0.3807	0.499035	0.994093388965199	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
HDL_L	Total lipids in high-density lipoprotein	null	392	29.7970435297721	51.185432532887	0.0725703245029323	0.00904465	0.12112225	0.2707905	0.38808375	0.496837	0.993620959863634	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
