locus_key	trait	trait_ov_n_iv	trait_ov_ivw_b	official_forward_ivw_b	official_reverse_main_ivw_b	official_reverse_noukbb_ivw_b	hotspot_gene	n_region_iv	region_ivw_b	region_ivw_se	region_ivw_ci_lo	region_ivw_ci_hi	region_ivw_p	region_weight_share	loo_n_iv	loo_ivw_b	loo_ivw_se	loo_ivw_ci_lo	loo_ivw_ci_hi	loo_ivw_p	n_hotspot_iv_trait	n_iv_after_hotspot_removal	hotspot_removed_ivw_b	hotspot_removed_ivw_se	hotspot_removed_ivw_ci_lo	hotspot_removed_ivw_ci_hi	hotspot_removed_ivw_p	n_reverse_shared_iv	reverse_main_loo_n_iv	reverse_main_loo_b	reverse_main_loo_se	reverse_main_loo_ci_lo	reverse_main_loo_ci_hi	reverse_main_loo_p	reverse_noukbb_loo_n_iv	reverse_noukbb_loo_b	reverse_noukbb_loo_se	reverse_noukbb_loo_ci_lo	reverse_noukbb_loo_ci_hi	reverse_noukbb_loo_p	region_dir	loo_dir_consistent	hotspot_removed_dir_consistent	reverse_main_loo_dir_consistent	reverse_noukbb_loo_dir_consistent	locus	abf_class	failure_reason	is_mhc	qc_exp_lead_present	qc_mdd_lead_present_main	qc_mdd_lead_present_noukbb	complex_disposition	complex_locus	evidence_tier	mechanism_eligible	downgrade_reason	allowed_statement
Cholesterol_to_total_lipids_ratio_in_very_large_VLDL__locus268	Cholesterol_to_total_lipids_ratio_in_very_large_VLDL	283	-0.0589455503259917	-0.0589455503259917	-0.102602796347054	-0.0977827921196435	FADS	2	-0.282245860668736	0.0453344445258483	-0.371099739198528	-0.193391982138944	4.78924563021365e-10	0.0320425230892467	281	-0.0515535878476099	0.00824828222255327	-0.0677199239381363	-0.0353872517570835	4.09871951543062e-10	5	278	-0.0633765375146643	0.00830056187608236	-0.0796453398432319	-0.0471077351860966	2.25451694649844e-14	1	197	-0.087344050301768	0.00636239660323553	-0.0998141184994696	-0.0748739821040664	6.88524159875594e-43	147	-0.0940068681122595	0.00679323377911796	-0.107321361657892	-0.0806923745666274	1.49686583048196e-43	consistent	TRUE	TRUE	TRUE	TRUE	locus268	prior_sensitive_coloc	none	FALSE	TRUE	TRUE	TRUE	explicitly_downgraded	TRUE	abf_label_only_complex_downgraded	FALSE	complex_locus: multi-signal review not completed (503-sample 1KG EUR SuSiE unstable); ABF single-causal label only; also overlaps predefined hotspot(s): FADS	ABF label only; no multi-signal/mechanism claim until complex re-review
Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL__locus008	Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL	341	-0.05260775071286	-0.05260775071286	-0.114551120713923	-0.109458823143107	""	0							341	-0.05260775071286	0.0074419565981548	-0.0671937176197536	-0.0380217838059664	1.5596963231851e-12	6	335	-0.0508690956274537	0.00776899284045413	-0.0660960417908933	-0.035642149464014	5.84268622742723e-11	1	198	-0.113067353238804	0.00616532516867286	-0.125151168522381	-0.100983537955226	4.02412667254097e-75	146	-0.103553672285977	0.00661575878441989	-0.116520321233844	-0.0905870233381094	3.19035642204829e-55	unassessable	TRUE	TRUE	TRUE	TRUE	locus008	prior_sensitive_coloc	none	FALSE	TRUE	TRUE	TRUE	not_complex	FALSE	abf_label_only_forward_unassessable	FALSE	no forward metabolite IV inside region -> region MR direction unassessable	ABF label only; no forward causal-mechanism claim
Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL__locus023	Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL	341	-0.05260775071286	-0.05260775071286	-0.114551120713923	-0.109458823143107	""	0							341	-0.05260775071286	0.0074419565981548	-0.0671937176197536	-0.0380217838059664	1.5596963231851e-12	6	335	-0.0508690956274537	0.00776899284045413	-0.0660960417908933	-0.035642149464014	5.84268622742723e-11	1	197	-0.111239798809214	0.00617969536151397	-0.12335177915321	-0.099127818465217	1.91835290899063e-72	147	-0.105371783160802	0.00659862004795553	-0.118304840802458	-0.0924387255191447	2.10936058611396e-57	unassessable	TRUE	TRUE	TRUE	TRUE	locus023	prior_sensitive_coloc	none	FALSE	TRUE	TRUE	TRUE	explicitly_downgraded	TRUE	abf_label_only_complex_downgraded	FALSE	complex_locus: multi-signal review not completed (503-sample 1KG EUR SuSiE unstable); ABF single-causal label only	ABF label only; no multi-signal/mechanism claim until complex re-review
Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL__locus140	Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL	341	-0.05260775071286	-0.05260775071286	-0.114551120713923	-0.109458823143107	""	0							341	-0.05260775071286	0.0074419565981548	-0.0671937176197536	-0.0380217838059664	1.5596963231851e-12	6	335	-0.0508690956274537	0.00776899284045413	-0.0660960417908933	-0.035642149464014	5.84268622742723e-11	1	198	-0.113067353238804	0.00616532516867286	-0.125151168522381	-0.100983537955226	4.02412667254097e-75	146	-0.104364563685598	0.00664002447311193	-0.117378772509362	-0.0913503548618339	1.14769200393415e-55	unassessable	TRUE	TRUE	TRUE	TRUE	locus140	prior_sensitive_coloc	none	FALSE	TRUE	TRUE	TRUE	explicitly_downgraded	TRUE	abf_label_only_complex_downgraded	FALSE	complex_locus: multi-signal review not completed (503-sample 1KG EUR SuSiE unstable); ABF single-causal label only	ABF label only; no multi-signal/mechanism claim until complex re-review
Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL__locus151	Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL	341	-0.05260775071286	-0.05260775071286	-0.114551120713923	-0.109458823143107	""	0							341	-0.05260775071286	0.0074419565981548	-0.0671937176197536	-0.0380217838059664	1.5596963231851e-12	6	335	-0.0508690956274537	0.00776899284045413	-0.0660960417908933	-0.035642149464014	5.84268622742723e-11	1	197	-0.111475552313082	0.00618039223204252	-0.123588898498216	-0.0993622061279476	9.98709848499081e-73	147	-0.105371783160802	0.00659862004795553	-0.118304840802458	-0.0924387255191447	2.10936058611396e-57	unassessable	TRUE	TRUE	TRUE	TRUE	locus151	prior_sensitive_coloc	none	FALSE	TRUE	TRUE	TRUE	explicitly_downgraded	TRUE	abf_label_only_complex_downgraded	FALSE	complex_locus: multi-signal review not completed (503-sample 1KG EUR SuSiE unstable); ABF single-causal label only	ABF label only; no multi-signal/mechanism claim until complex re-review
Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL__locus187	Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL	341	-0.05260775071286	-0.05260775071286	-0.114551120713923	-0.109458823143107	""	0							341	-0.05260775071286	0.0074419565981548	-0.0671937176197536	-0.0380217838059664	1.5596963231851e-12	6	335	-0.0508690956274537	0.00776899284045413	-0.0660960417908933	-0.035642149464014	5.84268622742723e-11	1	198	-0.113067353238804	0.00616532516867286	-0.125151168522381	-0.100983537955226	4.02412667254097e-75	146	-0.104206915336878	0.00661580557656982	-0.117173655995674	-0.0912401746780815	6.73840777095981e-56	unassessable	TRUE	TRUE	TRUE	TRUE	locus187	prior_sensitive_coloc	none	FALSE	TRUE	TRUE	TRUE	explicitly_downgraded	TRUE	abf_label_only_complex_downgraded	FALSE	complex_locus: multi-signal review not completed (503-sample 1KG EUR SuSiE unstable); ABF single-causal label only	ABF label only; no multi-signal/mechanism claim until complex re-review
Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL__locus287	Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL	341	-0.05260775071286	-0.05260775071286	-0.114551120713923	-0.109458823143107	""	0							341	-0.05260775071286	0.0074419565981548	-0.0671937176197536	-0.0380217838059664	1.5596963231851e-12	6	335	-0.0508690956274537	0.00776899284045413	-0.0660960417908933	-0.035642149464014	5.84268622742723e-11	1	197	-0.111585229966821	0.00618537711266574	-0.123708346338444	-0.0994621135951973	9.42603355884082e-73	146	-0.103744344640231	0.00661768448631568	-0.116714767894459	-0.0907739213860028	2.17843316647104e-55	unassessable	TRUE	TRUE	TRUE	TRUE	locus287	prior_sensitive_coloc	none	FALSE	TRUE	TRUE	TRUE	not_complex	FALSE	abf_label_only_forward_unassessable	FALSE	no forward metabolite IV inside region -> region MR direction unassessable	ABF label only; no forward causal-mechanism claim
Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL__locus292	Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL	341	-0.05260775071286	-0.05260775071286	-0.114551120713923	-0.109458823143107	FADS	1	-0.233884609430257	0.039431265186136	-0.311168469059931	-0.156600749800582	3.0026954307814e-09	0.0356199119608455	340	-0.04591218966993	0.0075781468269795	-0.0607650845203663	-0.0310592948194937	1.37398199639208e-09	6	335	-0.0508690956274537	0.00776899284045413	-0.0660960417908933	-0.035642149464014	5.84268622742723e-11	1	197	-0.0946846803816584	0.00617990475948478	-0.106797071138136	-0.0825722896251806	5.50349530945387e-53	147	-0.105371783160802	0.00659862004795553	-0.118304840802458	-0.0924387255191447	2.10936058611396e-57	consistent	TRUE	TRUE	TRUE	TRUE	locus292	prior_sensitive_coloc	none	FALSE	TRUE	TRUE	TRUE	explicitly_downgraded	TRUE	abf_label_only_complex_downgraded	FALSE	complex_locus: multi-signal review not completed (503-sample 1KG EUR SuSiE unstable); ABF single-causal label only; also overlaps predefined hotspot(s): FADS	ABF label only; no multi-signal/mechanism claim until complex re-review
Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL__locus337	Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL	341	-0.05260775071286	-0.05260775071286	-0.114551120713923	-0.109458823143107	""	1	-0.864191290757927	0.279181188591396	-1.41137636555815	-0.317006215957706	0.00196514785806774	0.000710561973357235	340	-0.052030660252565	0.00744460199370943	-0.0666218120394706	-0.0374395084656595	2.76763141860374e-12	6	335	-0.0508690956274537	0.00776899284045413	-0.0660960417908933	-0.035642149464014	5.84268622742723e-11	0	198	-0.113067353238804	0.00616532516867286	-0.125151168522381	-0.100983537955226	4.02412667254097e-75	147	-0.105371783160802	0.00659862004795553	-0.118304840802458	-0.0924387255191447	2.10936058611396e-57	consistent	TRUE	TRUE	TRUE	TRUE	locus337	prior_sensitive_coloc	none	FALSE	TRUE	TRUE	TRUE	not_complex	FALSE	abf_prior_sensitive_forward_consistent	FALSE	ABF evidence prior-sensitive; forward direction consistent but not mechanism-grade	ABF label with consistent assessable forward direction; still not mechanism-grade
Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL__locus355	Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL	341	-0.05260775071286	-0.05260775071286	-0.114551120713923	-0.109458823143107	""	2	-1.03488995288576	0.199289650933145	-1.42549049120629	-0.644289414565241	2.0705052629931e-07	0.00139445586352053	339	-0.0512360888144311	0.00744715077107734	-0.0658322361131824	-0.0366399415156798	5.98699674691222e-12	6	335	-0.0508690956274537	0.00776899284045413	-0.0660960417908933	-0.035642149464014	5.84268622742723e-11	1	198	-0.113067353238804	0.00616532516867286	-0.125151168522381	-0.100983537955226	4.02412667254097e-75	146	-0.102868951185273	0.00661728590127439	-0.115838593227176	-0.0898993091433707	1.70712189415117e-54	consistent	TRUE	TRUE	TRUE	TRUE	locus355	prior_sensitive_coloc	none	FALSE	TRUE	TRUE	TRUE	explicitly_downgraded	TRUE	abf_label_only_complex_downgraded	FALSE	complex_locus: multi-signal review not completed (503-sample 1KG EUR SuSiE unstable); ABF single-causal label only	ABF label only; no multi-signal/mechanism claim until complex re-review
Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL__locus026	Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL	353	-0.048637601572428	-0.048637601572428	-0.131462057447571	-0.128810200250625	""	0							353	-0.048637601572428	0.00702556398317502	-0.0624074539505328	-0.0348677491943232	4.42345757144796e-12	6	347	-0.0438386669929258	0.00723414656856219	-0.0580173337261917	-0.0296600002596599	1.36152109474156e-09	1	197	-0.12691292557678	0.00611665535175423	-0.138901349772063	-0.114924501381498	1.25831815372921e-95	147	-0.122271637714885	0.00653106167275274	-0.13507228337429	-0.10947099205548	3.30357514854984e-78	unassessable	TRUE	TRUE	TRUE	TRUE	locus026	robust_coloc	none	FALSE	TRUE	TRUE	TRUE	not_complex	FALSE	abf_label_only_forward_unassessable	FALSE	no forward metabolite IV inside region -> region MR direction unassessable	ABF label only; no forward causal-mechanism claim
Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL__locus044	Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL	353	-0.048637601572428	-0.048637601572428	-0.131462057447571	-0.128810200250625	""	0							353	-0.048637601572428	0.00702556398317502	-0.0624074539505328	-0.0348677491943232	4.42345757144796e-12	6	347	-0.0438386669929258	0.00723414656856219	-0.0580173337261917	-0.0296600002596599	1.36152109474156e-09	1	198	-0.128811571194374	0.00610242108161008	-0.140772096732828	-0.116851045655921	6.67679280679085e-99	146	-0.119724361741865	0.00656227729694679	-0.132586188900446	-0.106862534583285	2.29528019872229e-74	unassessable	TRUE	TRUE	TRUE	TRUE	locus044	prior_sensitive_coloc	none	FALSE	TRUE	TRUE	TRUE	explicitly_downgraded	TRUE	abf_label_only_complex_downgraded	FALSE	complex_locus: multi-signal review not completed (503-sample 1KG EUR SuSiE unstable); ABF single-causal label only	ABF label only; no multi-signal/mechanism claim until complex re-review
Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL__locus082	Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL	353	-0.048637601572428	-0.048637601572428	-0.131462057447571	-0.128810200250625	""	0							353	-0.048637601572428	0.00702556398317502	-0.0624074539505328	-0.0348677491943232	4.42345757144796e-12	6	347	-0.0438386669929258	0.00723414656856219	-0.0580173337261917	-0.0296600002596599	1.36152109474156e-09	1	197	-0.127420970385472	0.00611524363869873	-0.139406627674009	-0.115435313096935	2.0160437053449e-96	147	-0.122271637714885	0.00653106167275274	-0.13507228337429	-0.10947099205548	3.30357514854984e-78	unassessable	TRUE	TRUE	TRUE	TRUE	locus082	prior_sensitive_coloc	none	FALSE	TRUE	TRUE	TRUE	explicitly_downgraded	TRUE	abf_label_only_complex_downgraded	FALSE	complex_locus: multi-signal review not completed (503-sample 1KG EUR SuSiE unstable); ABF single-causal label only	ABF label only; no multi-signal/mechanism claim until complex re-review
Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL__locus193	Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL	353	-0.048637601572428	-0.048637601572428	-0.131462057447571	-0.128810200250625	""	0							353	-0.048637601572428	0.00702556398317502	-0.0624074539505328	-0.0348677491943232	4.42345757144796e-12	6	347	-0.0438386669929258	0.00723414656856219	-0.0580173337261917	-0.0296600002596599	1.36152109474156e-09	1	198	-0.128811571194374	0.00610242108161008	-0.140772096732828	-0.116851045655921	6.67679280679085e-99	146	-0.121301346474848	0.00654808776431019	-0.134135362660504	-0.108467330289193	1.3053418186726e-76	unassessable	TRUE	TRUE	TRUE	TRUE	locus193	robust_coloc	none	FALSE	TRUE	TRUE	TRUE	explicitly_downgraded	TRUE	abf_label_only_complex_downgraded	FALSE	complex_locus: multi-signal review not completed (503-sample 1KG EUR SuSiE unstable); ABF single-causal label only	ABF label only; no multi-signal/mechanism claim until complex re-review
Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL__locus289	Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL	353	-0.048637601572428	-0.048637601572428	-0.131462057447571	-0.128810200250625	FADS	3	-0.183531839861603	0.0323364476682057	-0.24691011267925	-0.120153567043955	1.38126058168976e-08	0.0472038878035049	350	-0.0419546056953119	0.00719749223728089	-0.056061431259389	-0.0278477801312347	5.57408511190729e-09	6	347	-0.0438386669929258	0.00723414656856219	-0.0580173337261917	-0.0296600002596599	1.36152109474156e-09	1	197	-0.106570040418265	0.00611681108690963	-0.118558769848844	-0.0945813109876873	5.57058201446101e-68	147	-0.122271637714885	0.00653106167275274	-0.13507228337429	-0.10947099205548	3.30357514854984e-78	consistent	TRUE	TRUE	TRUE	TRUE	locus289	prior_sensitive_coloc	none	FALSE	TRUE	TRUE	TRUE	explicitly_downgraded	TRUE	abf_label_only_complex_downgraded	FALSE	complex_locus: multi-signal review not completed (503-sample 1KG EUR SuSiE unstable); ABF single-causal label only; also overlaps predefined hotspot(s): FADS	ABF label only; no multi-signal/mechanism claim until complex re-review
Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL__locus299	Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL	353	-0.048637601572428	-0.048637601572428	-0.131462057447571	-0.128810200250625	""	0							353	-0.048637601572428	0.00702556398317502	-0.0624074539505328	-0.0348677491943232	4.42345757144796e-12	6	347	-0.0438386669929258	0.00723414656856219	-0.0580173337261917	-0.0296600002596599	1.36152109474156e-09	1	197	-0.128432750956372	0.00611370230778877	-0.140415387291838	-0.116450114620907	5.61709764560167e-98	146	-0.121817919675301	0.00654734359761694	-0.134650477321039	-0.108985362029563	2.8888631305168e-77	unassessable	TRUE	TRUE	TRUE	TRUE	locus299	prior_sensitive_coloc	none	FALSE	TRUE	TRUE	TRUE	explicitly_downgraded	TRUE	abf_label_only_complex_downgraded	FALSE	complex_locus: multi-signal review not completed (503-sample 1KG EUR SuSiE unstable); ABF single-causal label only	ABF label only; no multi-signal/mechanism claim until complex re-review
