trait	autosomal_biallelic	in_ld_panel	ld_panel_missing
Ratio_of_saturated_fatty_acids_to_total_fatty_acids	13630	13183	447
Ratio_of_triglycerides_to_phosphoglycerides	84266	79630	4636
Remnant_cholesterol_nonHDL_nonLDL_cholesterol	57671	53583	4088
Saturated_fatty_acids	57969	54412	3557
Sphingomyelins	67441	63655	3786
Total_cholesterol	64697	60706	3991
Total_cholesterol_minus_HDLC	56485	52436	4049
Total_concentration_of_branchedchain_amino_acids_leucine_isoleucine_valine	17111	16524	587
Total_concentration_of_lipoprotein_particles	71747	67842	3905
Total_esterified_cholesterol	66028	62070	3958
Total_fatty_acids	69906	65489	4417
Total_free_cholesterol	60614	56528	4086
Total_lipids_in_IDL	57978	53994	3984
Total_lipids_in_LDL	56275	52311	3964
Total_lipids_in_VLDL	72438	67967	4471
Total_lipids_in_chylomicrons_and_extremely_large_VLDL	62964	59210	3754
Total_lipids_in_large_HDL	99320	92711	6609
Total_lipids_in_large_LDL	55589	51623	3966
Total_lipids_in_large_VLDL	72763	68542	4221
Total_lipids_in_lipoprotein_particles	62326	58327	3999
Total_lipids_in_medium_HDL	71296	66754	4542
Total_lipids_in_medium_LDL	60345	56106	4239
Total_lipids_in_medium_VLDL	66646	62389	4257
Total_lipids_in_small_HDL	57831	54656	3175
Total_lipids_in_small_LDL	60807	56102	4705
Total_lipids_in_small_VLDL	76882	72057	4825
Total_lipids_in_very_large_HDL	92120	86098	6022
Total_lipids_in_very_large_VLDL	74297	70039	4258
Total_lipids_in_very_small_VLDL	66302	61318	4984
Total_phospholipids_in_lipoprotein_particles	65828	61689	4139
Total_triglycerides	75855	71303	4552
Triglycerides_in_IDL	71263	65970	5293
Triglycerides_in_LDL	73463	68583	4880
Triglycerides_in_VLDL	74850	70459	4391
Triglycerides_in_chylomicrons_and_extremely_large_VLDL	53830	50471	3359
Triglycerides_in_large_HDL	44759	40883	3876
Triglycerides_in_large_LDL	69862	65005	4857
Triglycerides_in_large_VLDL	68532	64598	3934
Triglycerides_in_medium_HDL	63552	59473	4079
Triglycerides_in_medium_LDL	76795	71796	4999
Triglycerides_in_medium_VLDL	73617	69236	4381
Triglycerides_in_small_HDL	82493	77568	4925
Triglycerides_in_small_LDL	78853	73840	5013
Triglycerides_in_small_VLDL	80729	75732	4997
Triglycerides_in_very_large_HDL	57461	52981	4480
Triglycerides_in_very_large_VLDL	74467	70289	4178
