locus_key	trait	locus	outcome	p12	nsnp	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4
Cholesterol_in_very_large_HDL__locus006	Cholesterol_in_very_large_HDL	locus006	main	1e-06	2937	0.0242721529627961	0.00306136496596019	0.863622566295555	0.108924614779829	0.000119300995859475
Cholesterol_in_very_large_HDL__locus006	Cholesterol_in_very_large_HDL	locus006	main	5e-06	2937	0.0242605757194223	0.00305990476721633	0.863210638740203	0.10887266031264	0.000596220460518608
Cholesterol_in_very_large_HDL__locus006	Cholesterol_in_very_large_HDL	locus006	main	1e-05	2937	0.0242461196867768	0.00305808147647013	0.86269628156592	0.108807786883836	0.00119173038699707
Cholesterol_in_very_large_HDL__locus006	Cholesterol_in_very_large_HDL	locus006	main	1e-04	2937	0.0239888257731764	0.00302562986106302	0.853541558855642	0.107653145164699	0.0117908403454199
Cholesterol_in_very_large_HDL__locus006	Cholesterol_in_very_large_HDL	locus006	noUKBB	1e-06	2866	0.00344782147934918	0.000430954047214055	0.885356261757877	0.110662437609811	0.00010252510574782
Cholesterol_in_very_large_HDL__locus006	Cholesterol_in_very_large_HDL	locus006	noUKBB	5e-06	2866	0.00344640810592714	0.000430777385226159	0.884993325620696	0.110617073501178	0.000512415386972157
Cholesterol_in_very_large_HDL__locus006	Cholesterol_in_very_large_HDL	locus006	noUKBB	1e-05	2866	0.00344464301784217	0.000430556761316695	0.884540073676551	0.110560420640452	0.00102430590383822
Cholesterol_in_very_large_HDL__locus006	Cholesterol_in_very_large_HDL	locus006	noUKBB	1e-04	2866	0.00341317777453443	0.000426623821623829	0.876460203428888	0.109550501610341	0.0101494933646132
Cholesterol_in_very_large_HDL__locus007	Cholesterol_in_very_large_HDL	locus007	main	1e-06	2683	4.87235247721117e-08	9.95980326760527e-10	0.97906559733736	0.0200042359897109	0.000930116953423109
Cholesterol_in_very_large_HDL__locus007	Cholesterol_in_very_large_HDL	locus007	main	5e-06	2683	4.85429223917705e-08	9.92288549151514e-10	0.975436517170926	0.0199300867434577	0.00463334655040508
Cholesterol_in_very_large_HDL__locus007	Cholesterol_in_very_large_HDL	locus007	main	1e-05	2683	4.83190435181668e-08	9.87712136530926e-10	0.970937825745352	0.0198381696286425	0.00922395531925063
Cholesterol_in_very_large_HDL__locus007	Cholesterol_in_very_large_HDL	locus007	main	1e-04	2683	4.46152794226159e-08	9.12001764767303e-10	0.896513242885887	0.018317529006599	0.0851691825802318
Cholesterol_in_very_large_HDL__locus007	Cholesterol_in_very_large_HDL	locus007	noUKBB	1e-06	2579	9.07683622715254e-05	1.69498961984495e-06	0.980659285755663	0.0183031779037338	0.000945072988711618
Cholesterol_in_very_large_HDL__locus007	Cholesterol_in_very_large_HDL	locus007	noUKBB	5e-06	2579	9.04265236118111e-05	1.68860619542947e-06	0.976966068785675	0.0182342471260206	0.0047075689584974
Cholesterol_in_very_large_HDL__locus007	Cholesterol_in_very_large_HDL	locus007	noUKBB	1e-05	2579	9.00028290874221e-05	1.68069421153054e-06	0.97238848294775	0.0181488103497843	0.00937102317916719
Cholesterol_in_very_large_HDL__locus007	Cholesterol_in_very_large_HDL	locus007	noUKBB	1e-04	2579	8.30024667304871e-05	1.5499708930392e-06	0.896756730019931	0.0167372075136959	0.0864215100287496
Cholesterol_in_very_large_HDL__locus008	Cholesterol_in_very_large_HDL	locus008	main	1e-06	2778	7.12513803979913e-29	0.637373511215096	3.72059215888275e-29	0.332521539325501	0.030104949459401
Cholesterol_in_very_large_HDL__locus008	Cholesterol_in_very_large_HDL	locus008	main	5e-06	2778	6.3593467855089e-29	0.568870268487952	3.32071261688113e-29	0.296782991488782	0.134346740023262
Cholesterol_in_very_large_HDL__locus008	Cholesterol_in_very_large_HDL	locus008	main	1e-05	2778	5.60617539693244e-29	0.501495925731041	2.92742289435508e-29	0.261633397458961	0.236870676809998
Cholesterol_in_very_large_HDL__locus008	Cholesterol_in_very_large_HDL	locus008	main	1e-04	2778	1.79006028205751e-29	0.160128407462243	9.34730557099268e-30	0.0835399394580693	0.756331653079686
Cholesterol_in_very_large_HDL__locus008	Cholesterol_in_very_large_HDL	locus008	noUKBB	1e-06	2715	1.06247364695006e-28	0.816349995481894	2.36082640367878e-29	0.181370943674683	0.00227906084342586
Cholesterol_in_very_large_HDL__locus008	Cholesterol_in_very_large_HDL	locus008	noUKBB	5e-06	2715	1.05287537875514e-28	0.808975180849973	2.33949896177073e-29	0.179732458837762	0.0112923603122591
Cholesterol_in_very_large_HDL__locus008	Cholesterol_in_very_large_HDL	locus008	noUKBB	1e-05	2715	1.04111869136444e-28	0.799941948142666	2.31337549217556e-29	0.177725518249014	0.0223325336083275
Cholesterol_in_very_large_HDL__locus008	Cholesterol_in_very_large_HDL	locus008	noUKBB	1e-04	2715	8.66881707549745e-29	0.666067229124257	1.92621928075528e-29	0.147982167655598	0.185950603220151
Cholesterol_in_very_large_HDL__locus009	Cholesterol_in_very_large_HDL	locus009	main	1e-06	2190	4.69529449715951e-05	0.0110206247542323	0.000932633836182211	0.211135787559491	0.776864000905123
Cholesterol_in_very_large_HDL__locus009	Cholesterol_in_very_large_HDL	locus009	main	5e-06	2190	1.14311498236886e-05	0.00268307797929381	0.00022705875251254	0.0514030551692793	0.945675376949091
Cholesterol_in_very_large_HDL__locus009	Cholesterol_in_very_large_HDL	locus009	main	1e-05	2190	5.87515777766237e-06	0.00137899570045492	0.000116699196177617	0.0264191322860248	0.972079297659565
Cholesterol_in_very_large_HDL__locus009	Cholesterol_in_very_large_HDL	locus009	main	1e-04	2190	6.02659794015362e-07	0.000141454118550481	1.1970727628381e-05	0.00271001212632886	0.997135960367698
Cholesterol_in_very_large_HDL__locus009	Cholesterol_in_very_large_HDL	locus009	noUKBB	1e-06	2098	2.90788425702743e-06	0.000681836368222813	0.000832333594707039	0.187050012119015	0.811432910033799
Cholesterol_in_very_large_HDL__locus009	Cholesterol_in_very_large_HDL	locus009	noUKBB	5e-06	2098	6.84895915120729e-07	0.000160593373772701	0.000196040085727259	0.0440560138918857	0.955586667752699
Cholesterol_in_very_large_HDL__locus009	Cholesterol_in_very_large_HDL	locus009	noUKBB	1e-05	2098	3.502252937262e-07	8.21203050833078e-05	0.000100246176229327	0.0225282850503954	0.977288998242998
